slug,url,name,type,tags,cas_no,odour,solvent,synonyms,manufacturer
iso-e-super,https://pellwall.com/products/iso-e-super,Iso E Super,liquid,"['ambergris', 'aroma-chemicals', 'dry', 'fixatives', 'ingredients-for-perfumery', 'lemon', 'liquids', 'molecules', 'old-wood', 'velvety', 'woody']",['54464-57-2'],"['velvety', 'woody', 'dry', 'ambergris', 'old-wood', 'lemony']",,"['OTNE', 'Octahydrotetramethyl Acetophenone', 'Patchouli ethanone', 'Tetramethyl acetyloctahydronaphthalenes']",IFF
hedione,https://pellwall.com/products/hedione,Hedione,liquid,"['aroma-chemicals', 'clean', 'fixatives', 'floral', 'fresh', 'ingredients-for-perfumery', 'jasmine', 'liquids', 'molecules', 'petal', 'radiant', 'soft', 'sweet']",['24851-98-7'],"['fresh', 'floral-jasmine', 'sweet', 'clean']",,['Methyl dihydrojasmonate'],Firmenich
perfumer-s-alcohol,https://pellwall.com/products/perfumer-s-alcohol,Perfumer’s Alcohol,liquid,"['ingredients-for-perfumery', 'liquids', 'near-odourless', 'solvents-amp-additives']",[],['initially strong alcoholic but easily covered by other scents'],,['ethanol'],Mistral
bergamot-bf,https://pellwall.com/products/bergamot-bf,Bergamot BF,liquid,"['aldehydic', 'citrus', 'earl-grey-tea', 'essential-oils', 'fresh', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery']",['89957-91-5'],,,"['Citrus bergamia', 'Citrus aurantium var. Bergamia', 'bergamot essential oil BF', 'bergamot oil bergaptene free']",
ambroxan-10,https://pellwall.com/products/ambroxan-10,Ambroxan 10%,liquid,"['amber', 'ambergris', 'aroma-chemicals', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'molecules', 'radiant']",['6790-58-5'],,DEP to form a 10% solution of Ambroxan,"['ambroxan', 'ambrox', '(-)-Ambroxide', 'dodecahydro-3a,6,6,9a-tetramethyl naphtho[2,1-b]furan']","Kao, dilution by Pell Wall"
galaxolide-50-ipm,https://pellwall.com/products/galaxolide-50-ipm,Galaxolide 50 (IPM),liquid,"['aroma-chemicals', 'clean', 'fixatives', 'fresh', 'ingredients-for-perfumery', 'liquids', 'molecules', 'musk', 'musks', 'powdery', 'radiant', 'sweet']",['1222-05-5'],"['musk', 'sweet', 'fresh', 'powdery', 'clean']",IPM 50%,"['1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethylcyclopenta(g)-2-benzopyran;\xa0 hexahydro-hexamethylcyclopenta-benzopyran;\xa0 4,6,6,7,8,8-hexamethyl-1,3,4,7-tetrahydrocyclopenta[g]isochromene']",IFF
sandalore,https://pellwall.com/products/sandalore,Sandalore,liquid,"['aroma-chemicals', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'molecules', 'rich', 'sandalore', 'sandalwood', 'sweet', 'voluminous', 'warm', 'zanos-collaboration']",['65113-99-7'],,,"['3-methyl-5-(2,2,3-trimethyl-1-cyclopent-3-enyl)pentan-2-ol', 'Dersantol', 'Sandal pentanol']",DRT
sylvamber,https://pellwall.com/products/sylvamber,Sylvamber,liquid,"['ambergris', 'aroma-chemicals', 'dry', 'fixatives', 'ingredients-for-perfumery', 'lemon', 'liquids', 'molecules', 'old-wood', 'velvety', 'woody', 'zanos-collaboration']","['54464-57-2', '68155-66-8', '68155-67-9']","['velvety', 'ambergris', 'woody', 'dry', 'old-wood', 'lemony']",,"['1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphtyl)ethan-1-one', 'OTNE', 'Octahydrotetramethyl Acetophenone', 'Methyl cyclo myrcetone,Patchouli ethanone', 'Tetramethyl acetyloctahydronaphthalenes']",DRT
ethylene-brassylate,https://pellwall.com/products/ethylene-brassylate,Ethylene brassylate,liquid,"['ambrette', 'aroma-chemicals', 'fixatives', 'floral', 'ingredients-for-perfumery', 'liquids', 'molecules', 'musk', 'musks', 'powdery', 'spicy', 'sweet', 'vanilla', 'woody']",['105-95-3'],,,"['Astrotone;\xa01,4-dioxacycloheptadecane-5,17-dione', 'Musk T']",
timbersilk,https://pellwall.com/products/timbersilk,Timbersilk,liquid,"['amber', 'aroma-chemicals', 'dry', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'molecules', 'velvety', 'voluminous', 'woody']","['68155-66-8', '54464-57-2', '68155-67-9', '915-730-3']","['amber', 'velvety', 'woody', 'dry']",,"['OTNE', 'Octahydrotetramethyl Acetophenone', 'Patchouli ethanone', 'Tetramethyl acetyloctahydronaphthalenes']",IFF
ethyl-maltol,https://pellwall.com/products/ethyl-maltol,Ethyl maltol,solid,"['aroma-chemicals', 'candy-floss-cotton-candy', 'caramel', 'halloween', 'ingredients-for-perfumery', 'intense', 'jam', 'molecules', 'solids', 'strawberry', 'sugar', 'sweet', 'warm']",['4940-11-8'],,,['2-ethyl-3-hydroxypyran-4-one'],
vanillin,https://pellwall.com/products/vanillin,Vanillin,solid,"['aroma-chemicals', 'chocolate', 'creamy', 'fixatives', 'ingredients-for-perfumery', 'molecules', 'powder', 'solids', 'sweet', 'vanilla']",['121-33-5'],,,['4-hydroxy-3-methoxybenzaldehyde'],
patchouli-light-albert-vieille,https://pellwall.com/products/patchouli-light-albert-vieille,"Patchouli  Light, Albert Vieille",liquid,"['amber', 'camphoraceous', 'earthy', 'essential-oils', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery', 'patchouli', 'radiant', 'wet', 'woody']",['8014-09-3'],"['patchouli', 'earthy', 'amber']",,['Pogostemon cablin'],Albert Vieille
linalool,https://pellwall.com/products/linalool,Linalool,liquid,"['aroma-chemicals', 'citrus', 'floral', 'fresh', 'ingredients-for-perfumery', 'liquids', 'molecules', 'sweet', 'woody']",[],,,[],
ambrettolide-hc-supreme,https://pellwall.com/products/ambrettolide-hc-supreme,Ambrettolide HC Suprême,liquid,"['ambrette', 'aroma-chemicals', 'berry', 'clean', 'fixatives', 'floral', 'fruity', 'ingredients-for-perfumery', 'liquids', 'molecules', 'musk', 'musks', 'perfume-like', 'radiant', 'sweet']",['28645-51-4'],"['musk', 'floral', 'ambrette', 'fruity-berry']",,"['(9Z)-17-oxacycloheptadec-9-en-1-one', 'cis-Ambrettolide', 'iso-Ambrettolide;\xa0hexadec-9-en-1,16 lactone', 'lanbrettolide;\xa0scentolide']",ACS
cedarwood-virginian-fresh,https://pellwall.com/products/cedarwood-virginian-fresh,"Cedarwood Virginian, fresh",liquid,"['amber', 'balsamic', 'clean', 'dry', 'essential-oils', 'fixatives', 'fresh', 'incense', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery', 'pencil-shavings', 'woody']",['8000-27-9'],"['woody', 'pencil-shavings', 'dry', 'balsamic', 'clean', 'amber']",,['Juniperus virginiana'],
pink-pepper-eo,https://pellwall.com/products/pink-pepper-eo,Pink Pepper EO,liquid,"['balsamic', 'dry', 'essential-oils', 'fresh', 'ingredients-for-perfumery', 'lemon', 'liquids', 'natural-ingredients-for-perfumery', 'peppery', 'powdery', 'sharp', 'smoky', 'spicy', 'sweet', 'warm', 'woody']",['68917-52-2'],,,"['Pink Pepper Oil', 'Schinus molle essential oil']",Albert Vieille
vertofix-coeur,https://pellwall.com/products/vertofix-coeur,Vertofix Coeur (IFF),liquid,"['amber', 'aroma-chemicals', 'cedar', 'fixatives', 'incense', 'ingredients-for-perfumery', 'leather', 'liquids', 'molecules', 'musk', 'vetiver', 'woody']",['32388-55-9'],,,"['acetyl cedrene', 'MCK', 'lignofix', 'Methyl cedryl ketone', 'Vertofix Coeur', 'Vertofix']",IFF
labdanum-absolute-50,https://pellwall.com/products/labdanum-absolute-50,Labdanum Absolute 50%,liquid,"['absolutes', 'amber', 'ambergris', 'dry', 'fixatives', 'ingredients-for-perfumery', 'labdanum', 'liquids', 'natural-ingredients-for-perfumery', 'old-wood', 'radiant', 'resinous', 'sweet']",['8016-26-0'],,- 50% in DPG,['Cistus ladaniferus'],
ambroxan,https://pellwall.com/products/ambroxan,Ambroxan,solid,"['amber', 'ambergris', 'animalic', 'aroma-chemicals', 'fixatives', 'ingredients-for-perfumery', 'molecules', 'radiant', 'solids']",['6790-58-5'],,,"['Ambrofix', 'ambrox', '(-)-Ambroxide', 'dodecahydro-3a,6,6,9a-tetramethyl naphtho[2,1-b]furan']",Kao
coumarin,https://pellwall.com/products/coumarin,Coumarin,solid,"['aroma-chemicals', 'fixatives', 'hay', 'ingredients-for-perfumery', 'molecules', 'new-mown-hay', 'solids', 'sweet', 'tonka']",['91-64-5'],,,"['2H-chromen-2-one', '1-benzopyran-2-one', 'chromen-2-one']",
habanolide,https://pellwall.com/products/habanolide,Habanolide,liquid,"['aroma-chemicals', 'fixatives', 'fresh-laundry', 'hot', 'hot-iron', 'ingredients-for-perfumery', 'liquids', 'metallic', 'molecules', 'musk', 'musks', 'powdery', 'radiant', 'sweet']",['111879-80-2'],,,"['(12E)-oxacyclohexadec-12-en-2-one', '(E)-12-musk decenone', 'oxacyclohexadecen-2-one']",Firmenich
geosmin-1,https://pellwall.com/products/geosmin-1,Geosmin 1% in DPG,liquid,"['aroma-chemicals', 'earthy', 'fresh', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'molecules', 'wet']",['23333-91-7'],"['fresh', 'earthy', 'wet']",DPG to form a 1% solution of Geosmin,"['octahydro-4,8a-dimethyl-4a(2H)-naphthol']",IFF / Pell Wall
